epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.285,1.89076,2.4203,1.77521,0.83041,0.22386,0.31145,0.13779,1.95732,2.18734,1.99532,0.000554812,0.000554812,0.000554812
2,448.662,1.90466,1.80029,1.81511,0.68785,0.37524,0.46272,0.20947,1.92402,1.67372,1.88989,0.00100054,0.00100054,0.00100054
3,655.348,1.81209,1.63712,1.72999,0.68214,0.36697,0.47915,0.24166,1.74802,1.62836,1.79613,0.00133625,0.00133625,0.00133625
4,859.879,1.73008,1.49426,1.66939,0.71814,0.47734,0.55659,0.29417,1.72347,1.43324,1.72306,0.0011719,0.0011719,0.0011719
5,1061.85,1.63822,1.35541,1.59721,0.72532,0.50289,0.60048,0.3224,1.66118,1.37266,1.69966,0.00100687,0.00100687,0.00100687
6,1263.68,1.55677,1.23588,1.52945,0.66473,0.54177,0.61254,0.33651,1.58974,1.26248,1.61493,0.000841835,0.000841835,0.000841835
7,1464.05,1.48635,1.12488,1.48516,0.65589,0.58416,0.63253,0.35147,1.5789,1.27399,1.62875,0.000676802,0.000676802,0.000676802
8,1666.7,1.42228,1.02943,1.43582,0.74312,0.53716,0.62974,0.35588,1.57707,1.2434,1.60956,0.000511769,0.000511769,0.000511769
9,1865.98,1.35196,0.93841,1.38109,0.73117,0.58966,0.66506,0.3703,1.57186,1.15198,1.61363,0.000346736,0.000346736,0.000346736
10,2066.26,1.274,0.85029,1.33003,0.7769,0.60197,0.69033,0.40138,1.52753,1.09959,1.59923,0.000181703,0.000181703,0.000181703
